Cost Center,Item1,Item2,Frequency,Total Revenue
Hospital B,BISCUIT,MISS VICKIES ORIG,1,5.350000023841858
Hospital A,ADD A BEVERAGE $1,DINNER ROLL,3,5.3399999141693115
Hospital B,CEREAL HOT 8OZ,TORTILLA,3,5.329999923706055
Hospital A,ADD A BEVERAGE $1,GERMAN BRATWURST,2,5.289999961853027
Hospital B,2 FOR $2,DESSERT STRAWBERRY SHORTCAKE,1,5.289999961853027
Hospital A,ADD A COOKIE,BAR THATS IT APPLE/STRAWBERRY,1,5.289999961853027
Hospital B,BACON 3 SLICES,BVC -3 FOR $3,1,5.289999961853027
Hospital A,BOTTLE COKE ZERO CHERRY 20OZ,GH-MAGNUM DBL CARAMEL,2,5.28000009059906
Hospital B,BEANFIELDS PICO DE GALLO,SANDWICH CHICKEN BREAST,1,5.28000009059906
Hospital B,FSTG TORTILLA CHIPS SWEET POTATO,SANDWICH CHICKEN BREAST,1,5.28000009059906
Hospital B,IMP- LAYS KETTLE COOKED JALAPENO 1.38 OZ,SANDWICH CHICKEN BREAST,1,5.28000009059906
Hospital B,IMP -SUN CHIPS GARDEN SALSA,SANDWICH CHICKEN BREAST,1,5.28000009059906
Hospital A,MARICH ENGLISH TOFFEE CARAMELS,PUMPKIN TURNOVER,1,5.2799999713897705
Hospital B,BOTTLEAHA SPARKLING BERRY/POM,DESSERT OREO DELIGHT,1,5.2799999713897705
Hospital B,BACON 3 SLICES,BANANAS3IB,1,5.2799999713897705
Hospital B,BAR LUNA LEMON ZEST,BVC -TOPOCHICO MINERAL WATER-20OZ,1,5.2799999713897705
Hospital B,COOKIES NUTTER BUTTER 1.9Z S S NAB,FRESH FRUIT,1,5.2799999713897705
Hospital B,CANTALOUPE.,CHORIZO,1,5.2799999713897705
Hospital B,IMP -NATURE VALLEY CRUNCHY OATS & HONEY,PANCAKE SPECIAL,1,5.2799999713897705
Hospital A,BAR THATS IT APPLE/BLUEBERRY,TATOR TOTS,1,5.2799999713897705
Hospital B,FLOUR BULK,SUGAR BULK,1,5.2799999713897705
Hospital B,IMP-CANDY BAR,SNACK BOX 2,1,5.2799999713897705
Hospital B,BAR NUTRI GRAIN STRAWBERRY,ENTREE 4.29,1,5.2799999713897705
Hospital B,DESSERT OREO DELIGHT,ONION RINGS,1,5.2799999713897705
Hospital B,BLUEBERRY AND GRANOLA PARFAIT,CANDY M & M PEANUT,1,5.2799999713897705
Hospital B,BOTTLEAHA SPARKLING BERRY/POM,PIZZA CHEESE SLICE,1,5.2799999713897705
Hospital B,BREAKFAST TACO,SRIRACH SAUCE,1,5.2799999713897705
Hospital B,BREAKFAST SPECIAL 2,KIT KAT BAR,1,5.2799999713897705
Hospital B,DOG TREATS,ENTREE 4.29,1,5.2799999713897705
Hospital B,BAR LUNA LEMON ZEST,TOPO CHICO TWIST OF LIME 20OZ,1,5.2799999713897705
Hospital A,BROOKSIDE BERRY MEDLEY,LEMON WAFER BITES,1,5.2799999713897705
Hospital B,BAR LUNA LEMON ZEST,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,1,5.2799999713897705
Hospital B,PIZZA CHEESE SLICE,SNACK BOX 4,1,5.2799999713897705
Hospital A,BAR THATS IT APPLE/CHERRY,TATOR TOTS,1,5.2799999713897705
Hospital B,ADD GRAVY,ENTREE 4.79,1,5.2799999713897705
Hospital B,DESSERT VANILLA GODDESS,SIDE 1.99,1,5.2799999713897705
Hospital B,IMP -NATURE VALLEY CRUNCHY OATS & HONEY,SNACK BOX 2,1,5.2799999713897705
Hospital A,BEANFIELDS NACHO,KIND PLUS POM/BLBRY/PIST/ANTIOX,1,5.2799999713897705
Hospital B,BOTTLE FANTA STRAWBERRY 20OZ,BURGER VEGGIES,1,5.2799999713897705
Hospital B,BLUEBERRY AND GRANOLA PARFAIT,SIDE 1.29,1,5.2799999713897705
Hospital A,IMP-MARICH SEA SALT CARAMEL,MONSTER ENERGY ZERO ULTRA,1,5.2799999713897705
Hospital B,BOTTLEAHA SPARKLING LM/WATERMELOM,PIZZA CHEESE SLICE,1,5.2799999713897705
Hospital B,RECHARGECOOKIE,SNACK BOX 2,1,5.2799999713897705
Hospital B,BACON 3 SLICES,BAR LUNA CARAMEL NUT BROWNIE 1.69OZ,1,5.2799999713897705
Hospital B,CANTALOUPE.,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,1,5.2799999713897705
Hospital A,CHICHARRONES CLASSIC CHILI & SALT,DOLCETTO CHOCOLATE ROLLS,1,5.2799999713897705
Hospital B,DESSERT OREO DELIGHT,MILK SILK SOYMILK VANILLA 8.25OZ,1,5.2799999713897705
Hospital B,CANDY M & M PEANUT,SNACK BOX 2,1,5.2799999713897705
Hospital B,BREAKFAST SPECIAL 2,CANDY M & M PEANUT,1,5.2799999713897705
Hospital B,KIT KAT BAR,OMELET,1,5.2799999713897705
Hospital B,DESSERT VANILLA GODDESS,HARD BOILED EGGS,1,5.2799999713897705
Hospital B,ENTREE 4.29,TRUMOO CHOCOLATE MILK,1,5.2799999713897705
Hospital B,GRILL TOPPINGS,OMELET,1,5.2799999713897705
Hospital B,NABISCO OREO,SNACK BOX 2,1,5.2799999713897705
Hospital B,BLUEBERRY AND GRANOLA PARFAIT,SNICKERS BAR,1,5.2799999713897705
Hospital B,CANDY REESE PEANUT BUTTER CUPS,OMELET,1,5.2799999713897705
Hospital B,CANTALOUPE.,TOPO CHICO TWIST OF LIME 20OZ,1,5.2799999713897705
Hospital A,BAR LARABAR CHERRY BAR,MARICH CHOCOLATE ESPRESSO BEANS,1,5.2799999713897705
Hospital B,HERSHEY ALMOND,OMELET,1,5.2799999713897705
Hospital B,BAR QUAKER CHEWY GRANOLA CHOC CHIP 0.84 OZ,OMELET,1,5.2799999713897705
Hospital B,KIND CHOCOLATE SEA SALT,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,1,5.2799999713897705
Hospital B,ENTREE 4.29,MILK TRUMOO CHOCOLATE 8OZ,1,5.2799999713897705
Hospital A,BEANFIELDS NACHO,MARICH TOFFEE ALMONDS,1,5.2799999713897705
Hospital B,DESSERT OREO DELIGHT,TWIZZLERS TWISTS,1,5.2799999713897705
Hospital B,ENTREE 4.29,WHOLE FRUIT 1 PC,1,5.2799999713897705
Hospital B,BAR QUAKER CHEWY GRANOLA CHOC CHIP 0.84 OZ,ENTREE 4.29,1,5.2799999713897705
Hospital A,BOTTLE COKE ZERO CHERRY 20OZ,OATMEAL LARGE,1,5.270000100135803
Hospital B,BELVITA GOLDEN OAT,MINUTE MAID CRANBERRY GRAPE,1,5.270000100135803
Hospital B,MINUTE MAID CRANBERRY APPLE RASPBERRY,YOGURT YOPLAIT LT PEACH,1,5.270000100135803
Hospital B,MINUTE MAID APPLE 12 OZ.,YOGURT YOPLAIT BLUEBERRY REG,1,5.270000100135803
Hospital B,CORN DOG,YOGURT YOPLAIT LT PEACH,1,5.270000100135803
Hospital B,MINUTE MAID CRANBERRY GRAPE,YOGURT YOPLAIT LT PEACH,1,5.270000100135803
Hospital B,MINUTE MAID PEACH MANGO,YOGURT YOPLAIT LT PEACH,1,5.270000100135803
Hospital B,CHIP LAYS BBQ,NUT HARVEST MIXED NUTS,1,5.269999980926514
Hospital A,B&J- TONIGHT,GHIRARDELLI DARK CHOCOLATE SEA SALT,1,5.269999980926514
Hospital B,BISCUIT,DESSERT STRAWBERRY SHORTCAKE,1,5.269999980926514
Hospital B,CHIP LAYS PLAIN,NUT HARVEST WHOLE CASHEWS,1,5.269999980926514
Hospital B,BOTTLEAHA SPARKLING BERRY/POM,NABISCO OREO,1,5.269999980926514
Hospital B,CHIP LAYS BBQ,THINK! THIN BAR CHNKY PNUT BTR,1,5.269999980926514
Hospital B,CHIP DORITO COOL RANCH 1.74OZ,NUT HARVEST MIXED NUTS,1,5.269999980926514
Hospital B,BISCUIT W/GRAVY,YOPLAIT YOGURT LITE,1,5.269999980926514
Hospital B,BACON 3 SLICES,YOGURT YOPLAIT LIGHT STRAWBERRY,1,5.269999980926514
Hospital B,BISQUIT SANDWICH,REFRIED BEANS,1,5.269999980926514
Hospital B,CANDY M & M PEANUT,PLANTERS- TROPICAL FRUIT & NUT,2,5.269999980926514
Hospital B,ENT -PREMIUM SIDE 1.39,NUT HARVEST WHOLE CASHEWS,1,5.269999980926514
Hospital B,BAR BUTTERFINGER2,FRIES,1,5.269999980926514
Hospital B,CHICKEN TENDER 1,DESSERT VANILLA GODDESS,1,5.269999980926514
Hospital B,BOTTLE SPRITE 20OZ,YOPLAIT YOGURT LITE,1,5.269999980926514
Hospital B,BOTTLE DR. PEPPER 20OZ,YOPLAIT YOGURT LITE,1,5.269999980926514
Hospital B,SCONE LARGE,WATER SMARTWATER 20OZ,1,5.269999980926514
Hospital B,EGGS,WATER VITAMINWATER POWER C DRAGONFRUIT 20OZ,1,5.269999861717224
Hospital B,FRIES SWEET POTATO,OAK FARMS WHOLE 8OZ,1,5.269999861717224
Hospital A,DINNER ROLL,ENTREE 4.49,1,5.269999742507935
Hospital B,SOUP 8 OZ,TOAST 1 SLICE,2,5.259999990463257
Hospital B,ADD DASANI,EGGS,3,5.2500001192092896
Hospital B,SIDE 1.29,TRUMOO CHOCOLATE MILK,2,5.25
Hospital B,ADD CHEESE,BOTTLE DR. PEPPER DIET 20OZ,2,5.25
Hospital A,ONDEMAND EXTRA SAUCE?,ONDEMAND GR. CHX CHEESE QUESADILLA,1,5.230000048875809
Hospital A,CHICKEN TENDER BASKET,CRANBERRY COOKIE,1,5.180000185966492
Hospital B,CORE POWER HP MILK SHAKE CHOC 14 OZ,OAK FARMS FAT FREE HALFPINT,1,5.180000185966492
Hospital B,BANANAS3IB,ORANGES 3IB,1,5.180000066757202
Hospital B,FRESH FRUIT,FRITO CORN CHIPS,1,5.180000066757202
Hospital B,COOKIES NUTTER BUTTER 1.9Z S S NAB,SANDWICH CHICKEN BREAST,1,5.180000066757202
Hospital B,CHORIZO,WATER SMARTWATER ALKALINE 33.8OZ,1,5.180000066757202
Hospital B,DUNKIN FRENCH VANILLA,YOGURT YOPLAIT STRAWBERRY,1,5.180000066757202
Hospital A,BREAKFAST BISCUIT,CLIF BAR CHOCOLATE BROWNIE,1,5.180000066757202
Hospital B,SANDWICH CHICKEN BREAST,SNICKERS BAR,1,5.180000066757202
Hospital A,DEEP RIVER CHIPS SEA SALT VINEGAR,MARICH CHOCOLATE ESPRESSO BEANS,1,5.180000066757202
Hospital B,CANDY REESE PEANUT BUTTER CUPS,SANDWICH CHICKEN BREAST,1,5.180000066757202
Hospital A,ADD A BEVERAGE $1,DONUT HOLES,2,5.180000066757202
Hospital B,MIGAS,OAK FARMS-2%,1,5.180000066757202
Hospital B,BURGER VEGGIES,SOUP 8 OZ,1,5.180000066757202
Hospital A,BOTTLE BARQS ROOT BEER,CHILI DOG,1,5.179999947547913
Hospital A,JUICE SIMPLY ORANGE JUICE 11.5,OATMEAL MEDIUM,1,5.179999947547913
Hospital A,CHICHARRONES CLASSIC CHILI & SALT,SNICKERS TREE,1,5.179999947547913
Hospital B,BOTTLE SPRITE ZERO 20OZ.,PIZZA CHEESE SLICE,1,5.179999947547913
Hospital A,BAR THATS IT APPLE/CHERRY,BEAN & CHEESE TACO,1,5.179999947547913
Hospital B,CHICKEN BREAST GRILLED,MINUTE MAID APPLE 12 OZ.,1,5.179999947547913
Hospital B,DESSERT STRAWBERRY SHORTCAKE,MINUTE MAID CRANBERRY GRAPE,1,5.179999947547913
Hospital B,DESSERT VANILLA GODDESS,MINUTE MAID APPLE 12 OZ.,1,5.179999947547913
Hospital B,DESSERT STRAWBERRY SHORTCAKE,MINUTE MAID APPLE 12 OZ.,1,5.179999947547913
Hospital B,DESSERT STRAWBERRY SHORTCAKE,MINUTE MAID CRANBERRY APPLE RASPBERRY,1,5.179999947547913
Hospital B,COKE ZERO BOTTLE 20 OZ,DESSERT OREO DELIGHT,1,5.179999947547913
Hospital B,BOTTLE COKE,DESSERT STRAWBERRY SHORTCAKE,1,5.179999947547913
Hospital A,BOOM CHICKA POP,CHICHARRONES CLASSIC CHILI & SALT,1,5.179999947547913
Hospital B,BOTTLE COKE CHERRY 20OZ,CHICKEN BREAST GRILLED,1,5.179999947547913
Hospital B,MINUTE MAID CRANBERRY GRAPE,PIZZA CHEESE SLICE,1,5.179999947547913
Hospital A,BOOM CHICKA POP WHITE CHEDDAR,CHICHARRONES CLASSIC CHILI & SALT,1,5.179999947547913
Hospital A,BAR LARABAR CHERRY BAR,PUMPKIN TURNOVER,1,5.179999828338623
Hospital B,GRILLED CHEESE,PATTY MELT,1,5.179999828338623
Hospital A,BEANFIELDS NACHO,PUMPKIN TURNOVER,1,5.179999828338623
Hospital A,IMP_ AWAKE CHOCO BAR,MONSTER ENERGY ZERO ULTRA,1,5.179999828338623
Hospital B,CUCINA ITALIANO,GRILLED CHEESE,1,5.179999828338623
Hospital A,BAR LARABAR CHERRY BAR,BEANFIELDS NACHO,1,5.179999828338623
Hospital B,BEANFIELDS PICO DE GALLO,BOTTLE GOLD PEAK UNSWEETENED ICED TEA 18.5OZ,1,5.179999828338623
Hospital B,GRILLED CHEESE,TAILGATE.,1,5.179999828338623
Hospital B,BOTTLE GOLD PEAK DIET ICED TEA 18.5OZ,DUNKIN DONUTS MOCHA,1,5.179999828338623
Hospital B,GRILLED CHEESE,WATER VITAMINWATER ZERO MULTI V 20OZ,1,5.179999828338623
Hospital B,BOTTLE GOLD PEAK SWEETENED ICED TEA 18.5OZ,HOT DOG,1,5.179999828338623
Hospital B,GRILLED CHEESE,PANCAKE MIX BULK,1,5.179999828338623
Hospital B,GRILLED CHEESE,SALT,1,5.179999828338623
Hospital B,GRILLED CHEESE,SNACK BOX,1,5.179999828338623
Hospital B,BREAKFAST TACO,GRILLED CHEESE,1,5.179999828338623
Hospital B,GRILLED HAM & CHEESE,HOT DOG,1,5.179999828338623
Hospital A,BAR LARABAR APPLE PIE 1.6OZ,PUMPKIN TURNOVER,1,5.179999828338623
Hospital B,BEANFEILDS JALAPENO,BOTTLE GOLD PEAK UNSWEETENED ICED TEA 18.5OZ,1,5.179999828338623
Hospital B,GRILLED CHEESE,GRILLSPECIAL7.99,1,5.179999828338623
Hospital A,BAR LARABAR CHERRY BAR,BEANFIELDS BLACK BEAN,1,5.179999828338623
Hospital A,IMP_ AWAKE CHOCO BAR,PUMPKIN TURNOVER,1,5.179999828338623
Hospital A,BAR LARABAR CHERRY BAR,BEANFIELDS WHITE BEAN SEA SALT,1,5.179999828338623
Hospital B,FSTG MULTIGRAIN,WATER SMARTWATER 20OZ,1,5.170000076293945
Hospital B,BELVITA GOLDEN OAT,RICE KRISPIE BITES,1,5.170000076293945
Hospital B,PLANTERS- TROPICAL FRUIT & NUT,WATER SMARTWATER 20OZ,1,5.170000076293945
Hospital B,MILK SILK SOYMILK CHOCOLATE 8.25OZ,WATER SMARTWATER 20OZ,1,5.170000076293945
Hospital B,BELVITA GOLDEN OAT,POPCORN SMARTFOOD WHITE CHEDDAR,1,5.170000076293945
Hospital B,BOTTLE DR. PEPPER 20OZ,CHIPS SUN HRVST CHEDDAR,1,5.169999957084656
Hospital B,BOTTLE SPRITE 20OZ,CHIP DORITO COOL RANCH 1.74OZ,1,5.169999957084656
Hospital B,BOTTLE COKE DIET 20OZ,CHIPS MISS VICKIES JAL 1 3/8OZ,1,5.169999957084656
Hospital B,BOTTLE SPRITE 20OZ,CHIP BAKED LAYS PLN,1,5.169999957084656
Hospital B,BREAKFAST SPECIAL 2,TORTILLA,1,5.169999957084656
Hospital B,BOTTLE DR. PEPPER 20OZ,FSTG TORTILLA CHIPS JALAPENO,1,5.169999957084656
Hospital A,BVC-RED BULL TROPICAL,CHOCOLATE CHIP MINT COOKIES,1,5.169999957084656
Hospital B,CHIP LAYS SR CRM ONION,COFFEE 12OZ,1,5.169999957084656
Hospital B,BOTTLE COKE DIET 20OZ,MUNCH,1,5.169999957084656
Hospital A,CHOCOLATE CUPCAKE,COOKIES,1,5.169999957084656
Hospital B,BOTTLE COKE DIET 20OZ,FRENCH TOAST,1,5.169999957084656
Hospital B,COFFEE 12OZ,MISS VICKIES ORIG,1,5.169999957084656
Hospital B,CHIPS MISS VICKIES JAL 1 3/8OZ,MINUTE MAID CRANBERRY GRAPE,1,5.169999957084656
Hospital B,BISCUIT W/GRAVY,CHEETOS FLAMIN HOT,1,5.169999957084656
Hospital B,BISCUIT W/GRAVY,ENT -PREMIUM SIDE 1.39,1,5.169999957084656
Hospital B,BISCUIT W/GRAVY,CHIP LAYS PLAIN,1,5.169999957084656
Hospital B,CHEETOS FLAMIN HOT,COFFEE 12OZ,1,5.169999957084656
Hospital B,CHIPS MISS VICKIES SEA SALT VIN 1 3/8OZ,COFFEE 12OZ,1,5.169999957084656
Hospital B,CHIP DORITO COOL RANCH 1.74OZ,MINUTE MAID APPLE 12 OZ.,1,5.169999957084656
Hospital A,COOKIES,GIANT VANILLA,1,5.169999957084656
Hospital B,BOTTLE SPRITE 20OZ,CHIP DORITOS NACHO CHEESE,1,5.169999957084656
Hospital B,COOKIE NABISCO FIG NEWTON 2 CNT,WATER VITAMINWATER XXX 20OZ,1,5.169999837875366
Hospital B,DUNKIN MOCHA,HOME FRIES,1,5.169999837875366
Hospital B,BOTTLE GOLD PEAK LEMON ICED TEA 18.5OZ,CANDY REESE PEANUT BUTTER CUPS,2,5.169999837875366
Hospital B,COOKIE NABISCO FIG NEWTON 2 CNT,WATER VITAMINWATER FOCUS KIWI STRAW 20OZ,1,5.169999837875366
Hospital B,FRIES SWEET POTATO,MILK TRUMOO CHOCOLATE 8OZ,1,5.169999837875366
Hospital B,CEREAL HOT 8OZ,HOT CHOCOLATE 12OZ,1,5.169999837875366
Hospital B,COFFEE 16OZ,COOKIE NABISCO FIG NEWTON 2 CNT,1,5.169999837875366
Hospital B,OAK FARMS WHOLE 8OZ,WATER VITAMINWATER XXX 20OZ,1,5.169999837875366
Hospital B,FRIES SWEET POTATO,OAK FARMS-2%,1,5.169999837875366
Hospital B,BAR NUTRI GRAIN STRAWBERRY,WATER VITAMINWATER POWER C DRAGONFRUIT 20OZ,1,5.169999837875366
Hospital B,BREAD .99,WATER VITAMINWATER XXX 20OZ,1,5.169999837875366
Hospital B,BREAD .99,COFFEE 16OZ,1,5.169999837875366
Hospital B,BAR QUAKER CHEWY GRANOLA CHOC CHIP 0.84 OZ,BOTTLE GOLD PEAK LEMON ICED TEA 18.5OZ,1,5.169999837875366
Hospital B,DOG TREATS,FRIES SWEET POTATO,1,5.169999837875366
Hospital B,BOTTLE GOLD PEAK LEMON ICED TEA 18.5OZ,NABISCO OREO,2,5.169999837875366
Hospital B,COFFEE 16OZ,WHOLE FRUIT 1 PC,1,5.169999837875366
Hospital B,BOTTLE GOLD PEAK LEMON ICED TEA 18.5OZ,SNICKERS BAR,2,5.169999837875366
Hospital B,BAR QUAKER CHEWY GRANOLA CHOC CHIP 0.84 OZ,HOT DOG,1,5.169999837875366
Hospital B,SIDE.99,WATER VITAMINWATER FOCUS KIWI STRAW 20OZ,1,5.169999837875366
Hospital B,DUNKIN MOCHA,SAUSAGE PATTY,1,5.169999837875366
Hospital B,BOTTLE GOLD PEAK GREEN ICED TEA 18.5OZ,HASH BROWNS,1,5.169999837875366
Hospital A,ADD A COOKIE,CANDY LINDT LINDOR BALLS,2,5.1600000858306885
Hospital A,OATMEAL MEDIUM,OATMEAL SMALL,3,5.1600000858306885
Hospital B,CHIP LAYS PLAIN,ROLD GOLD PRETZELS TINY TWISTS,2,5.1600000858306885
Hospital B,CHIP DORITO COOL RANCH 1.74OZ,FRITO CORN CHIPS,2,5.1600000858306885
Hospital B,BREAD .59,FRIES,2,5.159999966621399
Hospital B,BREAD .99,CHIP LAYS PLAIN,2,5.159999966621399
Hospital B,BAKED LAYS,COOKIE NABISCO FIG NEWTON 2 CNT,1,5.159999966621399
Hospital B,ENGLISH MUFFIN,MINUTE MAID ORANGE NO PULP,1,5.159999966621399
Hospital B,MINUTE MAID PEACH MANGO,OAK FARMS WHOLE 8OZ,1,5.159999966621399
Hospital B,BOTTLE COKE DIET 20OZ,ENGLISH MUFFIN,1,5.159999966621399
Hospital B,BAR QUAKER CHEWY GRANOLA CHOC CHIP 0.84 OZ,HARD BOILED EGG,1,5.159999847412109
Hospital B,GRAPES & CHESSES CUP,HARD BOILED EGG,1,5.159999847412109
Hospital B,BAR QUAKER CHEWY GRANOLA CHOC CHIP 0.84 OZ,KIT KAT BAR,2,5.159999847412109
Hospital B,DANNON OIKOS PLAIN,HARD BOILED EGG,1,5.159999847412109
Hospital B,BURGER CHEESE,HARD BOILED EGG,1,5.159999847412109
Hospital B,BOTTLE DR. PEPPER DIET 20OZ,IMP-CANDY BAR,2,5.159999847412109
Hospital B,HARD BOILED EGG,RECHARGEDRINK,1,5.159999847412109
Hospital B,FOUNTAIN DRINK 16OZ,HASH BROWNS,2,5.159999847412109
Hospital B,ENTREE 5.99,HARD BOILED EGG,1,5.159999847412109
Hospital B,CANDY M & M PEANUT,HERSHEY ALMOND,2,5.159999847412109
Hospital B,HARD BOILED EGG,SALAD THE DELICIOUS SPINACH,1,5.159999847412109
Hospital B,AGUA FRESCA,HASH BROWNS,2,5.159999847412109
Hospital B,BREAD 1.09,SAUSAGE PATTY,1,5.159999847412109
Hospital B,COOKIES NUTTER BUTTER 1.9Z S S NAB,GRILL TOPPINGS,2,5.159999847412109
Hospital B,BURGER,HOME FRIES,1,5.159999847412109
Hospital B,CHICKEN TENDERS 3,HOME FRIES,1,5.159999847412109
Hospital B,BREAKFAST SPECIAL 2,HARD BOILED EGG,1,5.159999847412109
Hospital B,HOME FRIES,KIT KAT BAR,1,5.159999847412109
Hospital B,BAR QUAKER CHEWY GRANOLA CHOC CHIP 0.84 OZ,IMP-CANDY BAR,2,5.159999847412109
Hospital B,IMP -NATURE VALLEY CRUNCHY OATS & HONEY,KIT KAT BAR,1,5.159999847412109
Hospital B,HOME FRIES,OMELET CHEESE,1,5.159999847412109
Hospital B,GRILL TOPPINGS,IMP -NATURE VALLEY CRUNCHY OATS & HONEY,1,5.159999847412109
Hospital B,FOUNTAIN DRINK 16OZ,HOME FRIES,1,5.159999847412109
Hospital A,BOOM CHICKA POP WHITE CHEDDAR,CANDY LINDT LINDOR BALLS,2,5.150000035762787
Hospital B,2 FOR $2,OAK FARMS WHOLE 8OZ,1,5.090000033378601
Hospital B,BAR NUTRI GRAIN RASPBERRY,CORE POWER HP MILK SHAKE CHOC 14 OZ,1,5.080000162124634
Hospital B,BREAD .99,CORE POWER HP MILK SHAKE CHOC 14 OZ,1,5.080000162124634
Hospital B,CORE POWER HP MILK SHAKE VAN 14 OZ,WHOLE FRUIT 1 PC,1,5.080000162124634
Hospital B,BURGER TURKEY,OAK FARMS WHOLE 8OZ,1,5.080000162124634
Hospital B,CORE POWER HP MILK SHAKE CHOC 14 OZ,OAK FARMS-2%,1,5.080000162124634
Hospital A,CEREAL BOX,CHICKEN TENDER BASKET,1,5.080000162124634
Hospital B,CORE POWER HP MILK SHAKE CHOC 14 OZ,SUB EGG WHITES,1,5.080000162124634
Hospital A,HOME FREE LEMON BURST,MARICH CHOCOLATE ESPRESSO BEANS,1,5.080000162124634
Hospital B,FRITO CORN CHIPS,SANDWICH CHICKEN BREAST,1,5.080000162124634
Hospital A,CHICKEN TENDER BASKET,"GHIRARDELLI INTENSE DARK CHOCOLATE ""TWILIGHT",1,5.080000162124634
Hospital B,ADD CHEESE,PIZZA PERSONAL CHEESE,1,5.080000162124634
Hospital A,CHOCOLATE PRETZELS,COOKIES,1,5.080000042915344
Hospital B,BREAKFAST SPECIAL 2,OAK FARMS WHOLE 8OZ,1,5.080000042915344
Hospital B,BLT,BOTTLE COKE CHERRY 20OZ,1,5.080000042915344
Hospital B,FRESH FRUIT,OAK FARMS WHOLE 8OZ,1,5.080000042915344
Hospital A,CRANBERRY COOKIE,GRIL LVEGGIE QUESADILLA,1,5.080000042915344
Hospital A,ADD A 12OZ COFF,TGF RECHARGE CRANBERRY BLEND,1,5.080000042915344
Hospital A,BVC-RED BULL TROPICAL,CRANBERRY COOKIE,1,5.080000042915344
Hospital B,BAR THINK THIN LEMON DELIGHT,EGGS,1,5.080000042915344
Hospital A,DEVIL EGGS,DUNKIN ORIGINAL,1,5.080000042915344
Hospital A,COOKIES,TGF SUNSHINE BLEND,1,5.080000042915344
Hospital B,CHIP DORITO COOL RANCH 1.74OZ,EGG SCRAMBLE,1,5.080000042915344
Hospital A,ADD A 12OZ COFF,CLIFF-PEANUT BUTTER & HONEY,1,5.080000042915344
Hospital A,BROWNIE BRITTLE SALTED CARAMEL,COOKIES,1,5.080000042915344
Hospital B,ADD BURGER PATTY,BEANFEILDS JALAPENO,1,5.079999923706055
Hospital B,BAR THINK THIN LEMON DELIGHT,WATER VITAMINWATER ZERO MULTI V 20OZ,1,5.079999923706055
Hospital B,PIZZA 1 SLICE MEAT,YOPLAIT YOGURT LITE,1,5.079999923706055
Hospital A,BEANFIELDS NACHO,SPECIALITY EGGS,1,5.079999923706055
Hospital A,CHICHARRONES SMOKEHOUSE BBQ,LEMON WAFER BITES,1,5.079999923706055
Hospital B,DESSERT OREO DELIGHT,POPCORN SMARTFOOD WHITE CHEDDAR,1,5.079999923706055
Hospital B,BOTTLE GOLD PEAK SWEETENED ICED TEA 18.5OZ,SNACK BOX 3,1,5.079999923706055
Hospital A,CHILI DOG,KETTLE CHIPS,1,5.079999923706055
Hospital B,BOTTLE GOLD PEAK DIET ICED TEA 18.5OZ,GOURMET CAKE,1,5.079999923706055
Hospital B,MUFFIN SANDWICH,SIDE 1.99,1,5.079999923706055
Hospital A,AWAKE BAR,SAFFRON ROAD,1,5.079999923706055
Hospital A,DEEP RIVER CHIPS MESQUITE BBQ 2OZ,IMP-PEACH RINGS SQAURES,1,5.079999923706055
Hospital B,DESSERT STRAWBERRY SHORTCAKE,RICE KRISPIE BITES,1,5.079999923706055
Hospital B,BAR KIND CARAMEL ALMOND & SEA SALT,WATER VITAMINWATER ZERO MULTI V 20OZ,1,5.079999923706055
Hospital A,AWAKE BAR CARAMEL,THINK THIN SALTED CARAMEL,1,5.079999923706055
Hospital B,DANNON OIKOS PLAIN,DESSERT STRAWBERRY SHORTCAKE,1,5.079999923706055
Hospital A,GIANT VANILLA,ICE CREAM BAR COOKIE DOUGH,1,5.079999923706055
Hospital B,AHA-CITRUS& G. TEA,MUFFIN SANDWICH,1,5.079999923706055
Hospital A,KALE CHIPS 4OZ ORIGINAL,MICHEL ET AUGUSTIN DARK CHOCOLATE,1,5.079999923706055
Hospital B,BOTTLEAHA SPARKLING BERRY/POM,MUFFIN SANDWICH,1,5.079999923706055
Hospital B,FSTG TORTILLA CHIPS SWEET POTATO,MUFFIN SANDWICH,1,5.079999923706055
Hospital A,IMP-PEACH RINGS SQAURES,SPECIALITY EGGS,1,5.079999923706055
Hospital A,CHILI DOG,FRIED PICKLES,1,5.070000171661377
Hospital B,BELVITA GOLDEN OAT,YOGURT YOPLAIT STRAWBERRY,1,5.070000171661377
Hospital B,YOGURT YOPLAIT BLUEBERRY REG,YOGURT YOPLAIT LT PEACH,1,5.070000171661377
Hospital A,FRUIT WHOLE,TGF SUNSHINE BLEND,1,5.070000052452087
Hospital A,CANDY LINDT LINDOR BALLS,PEPPEMINT CLIFF BAR,1,5.070000052452087
Hospital A,FRUIT WHOLE,TGF RECHARGE CRANBERRY BLEND,1,5.070000052452087
Hospital A,FRUIT WHOLE,PEPPEMINT CLIFF BAR,1,5.070000052452087
Hospital A,BROWNIES,CRANBERRY COOKIE,1,5.070000052452087
Hospital B,MINUTE MAID PEACH MANGO,WATER SMARTWATER 20OZ,1,5.070000052452087
